Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;24721;"Annals of Mathematics";journal;"0003486X";6,760;Q1;137;28;104;1538;611;104;4,43;54,93;15,25;0;0;United States;Northern America;"Department of Mathematics at Princeton University";"1996-2023";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
2;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";6,150;Q1;118;195;208;8262;1175;193;3,36;42,37;23,26;43;20;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2023";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
3;13649;"Annals of Statistics";journal;"00905364";5,219;Q1;192;142;423;7521;2349;419;4,81;52,96;22,62;0;4;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
4;13531;"Journal of the Royal Statistical Society. Series B: Statistical Methodology";journal;"14679868, 13697412";3,976;Q1;151;103;126;3726;696;124;5,65;36,17;21,51;3;2;United Kingdom;Western Europe;"Oxford University Press";"1997-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
5;21100332429;"Annual Review of Statistics and Its Application";journal;"23268298, 2326831X";3,896;Q1;44;23;59;2148;634;58;8,26;93,39;25,86;1;1;United States;Northern America;"Annual Reviews Inc.";"2014-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
6;15049;"Biometrika";journal;"14643510, 00063444";3,566;Q1;132;77;216;2476;712;205;3,03;32,16;27,37;1;4;United Kingdom;Western Europe;"Oxford University Press";"1908-1913, 1945, 1947-1951, 1965-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Agricultural and Biological Sciences; Decision Sciences; Mathematics"
7;12094;"Journal of the American Statistical Association";journal;"01621459, 1537274X";3,397;Q1;215;225;501;9697;2224;454;3,77;43,10;26,77;6;17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1922-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
8;24724;"Annals of Probability";journal;"00911798";3,099;Q1;99;62;272;2376;658;272;2,25;38,32;14,71;0;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2023";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
9;17945;"Bioinformatics";journal;"13674811, 13674803";2,940;Q1;462;975;2979;29465;22108;2965;6,29;30,22;29,09;4;212;United Kingdom;Western Europe;"Oxford University Press";"1985-2023";"Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
10;12137;"Journal of Statistical Software";journal;"15487660";2,722;Q1;174;51;186;2525;1400;185;5,51;49,51;12,84;3;3;United States;Northern America;"University of California at Los Angeles";"1996-2023";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics"
